username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,,,,,,,,,
"SuitAnd_Tyler;2013-04-28 18:58;0;0;""@cocaa_nicolaa pic.twitter.com/HY5uU0vwcz"";Dundalk"," MD;@cocaa_nicolaa;;""328689593274728449"";https://twitter.com/SuitAnd_Tyler/status/328689593274728449",,,,,,,,
"MEEK_Meek_Milli;2013-04-28 18:57;0;0;""Wed her bed her and put a child in her #gameofthrones"";Baltimore"," MD;;#gameofthrones;""328689589961252867"";https://twitter.com/MEEK_Meek_Milli/status/328689589961252867",,,,,,,,
"TSevik;2013-04-28 18:57;0;3;""@mollzmollz7 was looking dayummmm good at banquet yesterday!"";Towson"," MD;@mollzmollz7;;""328689570210267137"";https://twitter.com/TSevik/status/328689570210267137",,,,,,,,
"StefGarcia8;2013-04-28 18:57;0;0;""Good Night :*"";Baltimore"," MD;;;""328689560932462592"";https://twitter.com/StefGarcia8/status/328689560932462592",,,,,,,,
"StefGarcia8;2013-04-28 18:57;0;0;""#Np i promise you - Frankie J"";Baltimore"," MD;;#Np;""328689545069600769"";https://twitter.com/StefGarcia8/status/328689545069600769",,,,,,,,
"sdfnjdskfhsd;2013-04-28 18:57;0;0;""@Casey_XoXo I start tomorrow!"";Baltimore"," MD;@Casey_XoXo;;""328689541600927744"";https://twitter.com/sdfnjdskfhsd/status/328689541600927744",,,,,,,,
"_lilxhk;2013-04-28 18:57;0;0;""Steph Curry has some bad ankles."";Owings Mills"," MD;;;""328689536680992768"";https://twitter.com/_lilxhk/status/328689536680992768",,,,,,,,
"jaeeeg;2013-04-28 18:57;0;0;""Gypsys crazy"";Glen Burnie"," MD;;;""328689531089989632"";https://twitter.com/jaeeeg/status/328689531089989632",,,,,,,,
"MattShi3lds;2013-04-28 18:57;0;0;""@RaymondShields uhhhh what? free money"";South Gate"," MD;@RaymondShields;;""328689522839797760"";https://twitter.com/MattShi3lds/status/328689522839797760",,,,,,,,
"carinanickole;2013-04-28 18:57;0;0;""Can I marry Justin Timberlake please?"";Savage-Guilford"," MD;;;""328689496352772096"";https://twitter.com/carinanickole/status/328689496352772096",,,,,,,,
"immaeatcookie;2013-04-28 18:57;0;0;""#DwightHowardIsMoreUselessThan trying to teach a shark how to do the hokey pokey"";Pikesville"," MD;;#DwightHowardIsMoreUselessThan;""328689480569597953"";https://twitter.com/immaeatcookie/status/328689480569597953",,,,,,,,
"StefGarcia8;2013-04-28 18:57;0;0;""For the first time lol"";Baltimore"," MD;;;""328689460449533955"";https://twitter.com/StefGarcia8/status/328689460449533955",,,,,,,,
"LalaSahbi;2013-04-28 18:57;0;0;""I am crying from laughing at Early Rowan Atkinson #bean"";Baltimore"," MD;;#bean;""328689444037210112"";https://twitter.com/LalaSahbi/status/328689444037210112",,,,,,,,
"Tyfrenzy_;2013-04-28 18:57;1;0;""@_trillaxxcam nigga you gay ?"";Lochearn"," MD;@_trillaxxcam;;""328689425578090496"";https://twitter.com/Tyfrenzy_/status/328689425578090496",,,,,,,,
"ConnorGwin;2013-04-28 18:57;0;0;""@SK8RB0iK8 9 sec?"";Maryland"," USA;@SK8RB0iK8;;""328689424076505089"";https://twitter.com/ConnorGwin/status/328689424076505089",,,,,,,,
