username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,,,,,,,,,
"leisazigman;2014-08-11 05:41;1;0;""#Ferguson mayor ""small gp tried to insight police"," created violence -pray for no more violence. @ksdknews"";Clayton"," MO;@ksdknews;#Ferguson;""498811533984821249"";https://twitter.com/leisazigman/status/498811533984821249",,,,,,,
"timo_235;2014-08-11 05:41;0;0;""@darrenrovell just hoping one day I can see him win a Major."";Des Peres"," MO;@darrenrovell;;""498811371958456320"";https://twitter.com/timo_235/status/498811371958456320",,,,,,,,
"willsalomon;2014-08-11 05:40;0;0;""@chezrolez2 tried goin out there last night. It was an absolute war zone."";Clayton"," MO;@chezrolez2;;""498811300151955458"";https://twitter.com/willsalomon/status/498811300151955458",,,,,,,,
"ORScaturro;2014-08-11 05:40;1;1;""Of course @alli_counton is late on the first day"";Collinsville"," IL;@alli_counton;;""498811201368117248"";https://twitter.com/ORScaturro/status/498811201368117248",,,,,,,,
"terryschriber1;2014-08-11 05:40;0;0;""BOBBY B UR RIGHT THATZ A MOVIE!!! 2MILLION 4 THE SCREEN RELEASE RIGHTZ???"";Illinois"," USA;;;""498811198469857280"";https://twitter.com/terryschriber1/status/498811198469857280",,,,,,,,
"Cas9184;2014-08-11 05:40;0;0;""No mascara or eyeliner today. I apologize in advance if you see me."";Lemay"," MO;;;""498811178714673152"";https://twitter.com/Cas9184/status/498811178714673152",,,,,,,,
"prettygirlneee;2014-08-11 05:40;0;1;""Cannot Wait Til I Get Df Up Outta The MIDWEST ."";Maryland Heights"," MO;;;""498811150356602880"";https://twitter.com/prettygirlneee/status/498811150356602880",,,,,,,,
"_jekirker;2014-08-11 05:40;0;0;""@ericfultz @therealautoblog too late to book a flight for this weekend? #lastminute #vacation #carsoncarsoncars"";Edmundson"," MO;@ericfultz @therealautoblog;#lastminute #vacation #carsoncarsoncars;""498811131390349313"";https://twitter.com/_jekirker/status/498811131390349313",,,,,,,,
"RyanRArcher;2014-08-11 05:39;0;0;""Student portraits today (@Nerinx Hall High School in Webster Groves"," MO) https://www. swarmapp.com/ryanrarcher/ch eckin/53e8b99b498e8bcc607cde73?s=K6qmPF2shZN5ffpJCzGd-4HLvtg&ref=tw â€_"";Webster Groves"," MO;@Nerinx;;""498811046661222401"";https://twitter.com/RyanRArcher/status/498811046661222401",,,,,,,
"prettygirlneee;2014-08-11 05:39;1;1;""Woke Up Praying For All You Dumbasses In This City We Not Gone Get Justice For Mike By Destroying Our Community ."";Maryland Heights"," MO;;;""498811042504253440"";https://twitter.com/prettygirlneee/status/498811042504253440",,,,,,,,
"TotalTrafficSTL;2014-08-11 05:39;4;0;""Accident reported in #BellefontaineNeighbors on MO 367 at I-270 #STLtraffic http:// bit.ly/17hxde2"";Bellefontaine Neighbors"," MO;;#BellefontaineNeighbors #STLtraffic;""498810929958506496"";https://twitter.com/TotalTrafficSTL/status/498810929958506496",,,,,,,,
"MAIXi_pad;2014-08-11 05:39;0;3;""I black out for one night"," and everything goes crazy"";Webster Groves"," MO;;;""498810908429144064"";https://twitter.com/MAIXi_pad/status/498810908429144064",,,,,,,
"timo_235;2014-08-11 05:39;0;0;""The Life and Times of Timo #AvailableForPreOrder #3bucks Sam Goody Style. #Ps still waiting for that Dr Dre disc I had on preorder in 2003"";Des Peres"," MO;;#AvailableForPreOrder #3bucks #Ps;""498810901110071300"";https://twitter.com/timo_235/status/498810901110071300",,,,,,,,
"MrAntike184;2014-08-11 05:39;0;0;""@Alexa_AP08 alright"";Granite City"," IL;@Alexa_AP08;;""498810851483451392"";https://twitter.com/MrAntike184/status/498810851483451392",,,,,,,,
"leisazigman;2014-08-11 05:39;14;10;""#Ferguson mayor: we survived two tornados and we will survive this @ksdknews"";Clayton"," MO;@ksdknews;#Ferguson;""498810833494093825"";https://twitter.com/leisazigman/status/498810833494093825",,,,,,,,
"SurrndrDorothy;2014-08-11 05:38;1;1;""Every cop needs to wear a camera so there is no mistaking their words & actions. We don't know what truly happened. #Ferguson"";St Louis"," MO;;#Ferguson;""498810806151024640"";https://twitter.com/SurrndrDorothy/status/498810806151024640",,,,,,,,
"ORScaturro;2014-08-11 05:38;0;1;""What time does school start again.."";Collinsville"," IL;;;""498810795623718912"";https://twitter.com/ORScaturro/status/498810795623718912",,,,,,,,
"CarlyJWatters;2014-08-11 05:38;0;0;""Week 7. #getatme #otschool #level2fw"";St Louis"," MO;;#getatme #otschool #level2fw;""498810661615329280"";https://twitter.com/CarlyJWatters/status/498810661615329280",,,,,,,,
"JennCarcagno;2014-08-11 05:37;0;1;""Thank you @MorningMashUp for playing great back to school music for this teacher! #savingme"";Town and Country"," MO;@MorningMashUp;#savingme;""498810491482161152"";https://twitter.com/JennCarcagno/status/498810491482161152",,,,,,,,
